signal_date,entry_date,asset,headline_summary,sentiment_score,signal,entry_price,price_1d,price_3d,price_7d
2026-07-15,2026-07-16,GC=F,"IAUI: Monthly Income Helps In A Range-Bound Gold Market, But NAV Erosion Keeps It A Hold | Chip Selloff Drags Nasdaq 100, Gold Sinks Below $4,000: Stock Market Today | Commodities: Renewed U.S.-Iran Tensions Unnerve Oil Market | Precious Metals Royalty And Streaming Companies - June 2026 Report | Treasury Secretary Bessent Unveils $1 Trump Coin: What Do Prediction Markets Say About It? (UPDATED)",-0.2,⚪ HOLD,4030.5,4012.699951171875,4071.10009765625,4074.5
2026-07-16,2026-07-17,GC=F,"Bitcoin Breaks Tech Stocks Correlation: Will BTC Now Follow in Gold's Footsteps? | Where To Invest Now In AI, Biotech, Small Caps, And Gold | Macro Insights: Oil Tensions Resurface, Cracks Appear In Memory And Sectoral Merry-Go-Round At Play | I Can't Imagine Retiring On Dividends Without These 3 Investments | Gold Just Shed 3 Quarters of Gains, Expert Lists 3 Stocks You Should Watch",-0.2,⚪ HOLD,3975.5,4010.300048828125,4146.89990234375,4036.300048828125
2026-07-17,2026-07-20,GC=F,"The White House is dictating access to frontier AI models, shifting power from tech giants",0.0,⚪ HOLD,4003.39990234375,4071.10009765625,4046.60009765625,4034.699951171875
2026-07-20,2026-07-21,GC=F,"Here’s How Much You Would Have Made Owning SPDR Gold Shares Stock In The Last 5 Years | KGLD: Gold Enters Bear Territory, Time To Get Bullish | Buying In Semiconductors On Iran Ceasefire Soap Opera, Earnings Hopium, And Korea | Micron Leads Memory-Stock Rally, Nasdaq 100 Tops 29,000: Stock Market Today | QUICK SPARK: Semiconductor ETFs Dominate Inflows As SOXX, SOXL Pull In Over $2.1 Billion in One Day",0.4,⚪ HOLD,4002.10009765625,4146.89990234375,4067.60009765625,4100.10009765625
2026-07-21,2026-07-22,GC=F,"I Couldn't Be More Bullish On These 2 Undervalued Dividend Growth Powerhouses | The Semiconductor Trade Yanked $22 Billion From Gold and Bitcoin — Now The Tide Is Turning | Gold: The Bull Case | Commodity Catchup: How To Protect Against Inflation, Own It | Yields Rise, Markets Pricing In A Longer Energy Shock",0.2,⚪ HOLD,4096.2001953125,4046.60009765625,4074.5,
2026-07-22,2026-07-23,GC=F,What Is Going On With Gold? | ‘Big Short’ Billionaire Strikes $4.2 Billion Gold Deal | I Couldn't Be More Bullish On These 2 Undervalued Dividend Growth Powerhouses | The Semiconductor Trade Yanked $22 Billion From Gold and Bitcoin — Now The Tide Is Turning | Gold: The Bull Case,-0.2,⚪ HOLD,4129.89990234375,4067.60009765625,4036.300048828125,
2026-07-23,2026-07-24,GC=F,The One Bond Chart That Keeps Me Up At Night | Things Are Getting Interesting In Macro Kingdom | Newmont: Stronger Balance Sheet And Record Q2 Free Cash Flow; Reiterate Buy | The Price Target For Gold | Have We Entered A Stealth Bear Market?,0.0,⚪ HOLD,4067.60009765625,4074.5,4034.699951171875,
2026-07-24,2026-07-27,GC=F,How crypto fits into a diversified investment portfolio,0.0,⚪ HOLD,4090.10009765625,4036.300048828125,4100.10009765625,
2026-07-27,2026-07-28,GC=F,Commodities: Oil Slides As Hopes Grow For A U.S. And Iran Deal | Real Assets Are Beating Tech Right Now. Here's the Proof. | Is The Market Mispricing The Energy Cost Of Sound Money? | KGLD: This May Be The Best ETF To Turn Gold Into Monthly Cash,-0.5,🔴 SELL,4025.699951171875,4034.699951171875,,
2026-07-28,2026-07-29,GC=F,RSP: Why Equal Weighting Is The Antidote To The S&P 500's M2 Distortion | Why Gold Is Falling Even As Conflict In The Middle East Escalates | Commodities: Oil Rises As Middle East Tensions Reignite | Commodities: Oil Slides As Hopes Grow For A U.S. And Iran Deal,-0.25,🔴 SELL,4018.10009765625,4100.10009765625,,
2026-07-29,2026-07-30,GC=F,A profit squeeze is coming for tech. This manager is betting on these unglamorous stocks instead. | Warsh's rate decision is a cliffhanger. These trades might offer a clue,-0.5,🔴 SELL,4060.699951171875,,,
